cod	descricao
GERES99AOP	ALICATE BOMBA DAGUA 9,5 POL. I
GERES47248	ALICATE CORTE DIAGONAL ISOLADO
GERES99DYS	ALICATE UNIVERSAL 8 ISOL - TR
GERES99APH	APOIO PE EM POSTE DT 565MM - L
GERES99AQN	BALDE DE LONA PARA ICAR FERRAM
JAMES03480	BATERIA 9V
GERES99ASG	BOLSA DE LONA AZUL N10 P/ ACON
GERES16505	BOLSA EM LONA PARA FERRAMENTAS
GERES99W0N	BOLSA LONA DUPLA AZ KIT ALTURA KIT RESGATE LONA 10 LOGOTIPO
GERES99ASX	BOLSA MANGA ISOLANTE
GERES99ASY	BOLSA NYLON AZ KIT ALTURA E KI
GERES99AT5	BOLSA RECICLADA CAPACETE
GERES99AT9	BOLSA RECICLADA LUVA ISOLANTE
GERES99AWS	BOTINA MICROF HIDROF ELAST BIQ
GERES99AWU	BOTINA MICROF HIDROF ELAST BIQ
GERES99AWT	BOTINA MICROF HIDROF ELAST BIQ
GERES99AWR	BOTINA MICROF HIDROF ELAST BIQ
GERES99AWV	BOTINA MICROF HIDROF ELAST BIQ
GERES99AWQ	BOTINA MICROF HIDROF ELAST BIQ
GERES99AXF	BROCA PILOTO P/ SERRA COPO 1/4
GERES99B1C	CALCA ANTICHAMA CINZA TAM G
GERES99B1E	CALCA ANTICHAMA CINZA TAM M
GERES99B1F	CALCA ANTICHAMA CINZA TAM P
GERES99B3I	CAMISA ANTICHAMA CINZA TAM G
GERES99B3J	CAMISA ANTICHAMA CINZA TAM GG
GERES99B3K	CAMISA ANTICHAMA CINZA TAM M
GERES99B3L	CAMISA ANTICHAMA CINZA TAM P
GERES24972	CANETA DETECTORA DE TENSAO  MI
GERES99B73	CAPUZ BALACLA ANTCH RISCO 2 S
GERES99B76	CARNEIRA E JUGULAR (MSA)
GERES99B86	CAVADEIRA ARTICULADA GD CABO 1
GERES55114	CHAVE AJUSTAVELC/ISOLACAO10
GERES99B9E	CHAVE CATRACA ( ESTRELA ) CABO
GERES49395	CHAVE DE FENDA ISOLADA 1/4X6
GERES99BNL	FAIXA REFLETIVA INFERIOR PARA
GERES99BNM	FAIXA REFLETIVA SUPERIOR PARA
GERES99BO2	FITA ANCORAGEM TRANSPOSICAO LI
GERES99BO3	FITA ANCORAGEM TRANSPOSICAO LI
GERES99BOE	FITA EUREKA P/ ANCORAGEM DE ES
GERES99BOO	FREIO EDDY AUTOBLOCANTE DESCEN
GERES99BUF	LAMINA PARA SERROTE DE PODA CU
GERES99BUG	LAMINA SERRA BS 1218 STARRET
GERES99BV5	LENCOL BORRACHA CLASSE 0 MANTA
GERES99BW7	LUBRIFICANTE WHITE LUB 300ML
GERES99BXE	LUVA COBERTURA PUNHO 130MM ACA
GERES99BXD	LUVA COBERTURA PUNHO 130MM ACA
GERES99BXS	LUVA DE VAQUETA CANO LONGO 15
GERES99BXT	LUVA DE VAQUETA N10
GERES99BXV	LUVA DE VAQUETA N9
GERES99BYT	MANGA ISOLANTE CLASSE 2 TIPO 2
GERES99C2S	MOSQUETAO TRIPLA TRAVA ( TIPO
GERES99C36	OCULOS DE SEGURANCA FUME - TIP
GERES99C38	OCULOS DE SEGURANCA INCOLOR -
GERES99C6I	PERNEIRA DE COURO COM 3 TALAS
GERES99C6U	PINO PARA VARA DE MANOBRA
GERES99C8Z	PROTETOR EM NYLON PARA TALABAR
GERES99C9V	REBOBINADOR C/ FITA DE SINALIZ
GERES99CE3	TALABARTE DE CORDA C/ REGULADO
GERES99CGC	TESOURA CORTA VERGALHAO 18 C/
GERES99CHH	TRAVA QUEDAS - MG CINTO (MULT
GERES99CI0	VARA DE MANOBRA 5 ELEMENTOS 38
