cod_material	dscmat	codund_mda_mat	Estoque Necessário
10064	ARRUELA QUAD 18X100MM GALV	PC	5
37928	LACRE SEG. POLICARBONATO AZUL	UN	30
42780	MEDIDOR TRIF.EN.ATIV/REAT 120/240V	PC	4
42829	MEDIDOR MONOF.EN.AT.120/240V.15A.2FIOS.S/M	PC	14
90013	ALCA PREF CORD ACO-ZN 9,50MM 6X2.54MM 965MM LRJ	UN	200
90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	352
90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	322
90229	AFASTADOR ARMACAO SECUND ACO-GALV 900X500MM 65X65MM 5FRS	UN	2
90249	PINO ISOLADOR CRUZETA ACO M16 294X140X150MM 15KV	UN	86
90251	PINO ISOLADOR AUTOTRAVANTE ACO M20/M16 168,5MM	UN	973
90252	PINO ISOLADOR AUTOTRAVANTE ACO M20/M16 85,0MM	UN	53
90253	ISOLADOR PILAR PORCEL 15,0KV 220MM 300MM 8.0KN M20 CTC	UN	895
90255	CORDOALHA ACO CARB CL A 7 FIOS MR 6,4MM 1430DAN	M	178
90256	CORDOALHA ACO CARB CL A 7 FIOS MR 9,5MM 3160DAN	M	4382
90258	CABO ALUM NU 1F CA/AAC 2AWG IRIS	KG	31
90259	CABO ALUM NU 1F CA/AAC 1/0AWG POPPY	KG	7
90262	CABO ALUM NU CAA/ASCR 1F 2AWG SPARROW	KG	3102
90263	CABO ALUM NU CAA/ASCR 1F 1/0AWG RAVEN	KG	1040
90264	CABO ALUM NU CAA/ASCR 1F 4/0AWG PENGUIN	KG	94
90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	6871
90267	CABO ALUM PROT SPL XLPE 1F 15,0KV 120MM2 BLOQ CNZ	M	3563
90268	CABO ALUM PROT SPL XLPE 1F 15,0KV 185MM2 BLOQ CNZ	M	3941
90272	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 1F 1X1X10MM2+10MM2	M	698
90275	ISOLADOR PINO POLIM 15,0KV 280MM 25MM ANEL 1200DAN CNZ	UN	350
90277	ISOLADOR BASTAO POLIM ANCOR 15.0KV 370MM 380MM 50KN GO	UN	1541
90280	PINO ISOLADOR CURTO ACO M16 190MM 15KV	UN	299
90284	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 2F 2X1X35MM2+35MM2	M	1571
90285	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 3F 3X1X10MM2+10MM2	M	267
90288	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 3F 3X1X35MM2+35MM2	M	125
90289	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 3F 3X1X70MM2+70MM2	M	94
90290	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 3F 3X1X120MM2+70MM2	M	101
90295	ISOLADOR ROLDANA PORCELANA 79X76MM 1350DAN MRM	UN	2418
90296	CABO ALUM CONCENTR 0,6/1KV XLPE 1F 1X10MM2+10MM2	M	869
90303	ALCA PREF SERV ACO-ZINC 3,90-4,30MM 345MM MRM	UN	300
90304	ALCA PREF SERV ACO-ZINC 4,90-5,40MM 305MM BRC	UN	14
90306	ALCA PREF DISTR ACO-ZINC 7,30-8,20MM 610MM VRM	UN	1054
90307	ALCA PREF DISTR ACO-ZINC 9,15-10,25MM 670MM AMR	UN	319
90308	ALCA PREF DISTR ACO-ZINC 13,10-14,65MM 865MM VRM	UN	24
90310	ALCA PREF DISTR ACO-ZINC 17,40-19,30MM 1000MM AMR	UN	7
90313	ALCA PREF SERV ACO-ALUM 5,81-6,53MM 445MM LRJ	PC	0
90314	ALCA PREF SERV ACO-ALUM 7,36-8,27MM 625MM VRM	UN	5
90315	ALCA PREF DISTR ACO-ALUM 9,27-10,40MM 660MM AMR	UN	5
90324	ALCA PREF SERV CONC ACO-ALUM 9,80-10,50MM 355MM AMR	UN	13
90333	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 5,60-6,60MM 145X32MM	UN	2
90334	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 6,60-7,50MM 145X32MM	UN	14
90335	CONEC TERM CPR CB/BAR RT RLD ALUM 2F 9,00-10,20MM 160X32MM	UN	7
90340	CONECT TERM ESTRANG CB/BAR ALUM 1F 48X18MM 6.70-7.30MM	UN	101
90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	355
90342	CONECT TERM ESTRANG CB/BAR ALUM 2F 123X25MM 11.20-12.30MM	UN	376
90343	CONECT TERM ESTRANG CB/BAR ALUM 2F 127,5X30MM 14.20-14.50MM	UN	10
90344	CONECT TERM ESTRANG CB/BAR ALUM 2F 137X33MM 15.40-17.00MM	UN	36
90345	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 5,88-8,01MM/2AWG VM	UN	246
90346	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 9,06-11,34MM/2AWG AZ	UN	146
90347	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 11,20-13,30MM/2AWG AZ	UN	30
90348	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 14,88-16,30MM/1/0AWG AM	UN	17
90352	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-95MM2/1,5-6,0MM2	UN	203
90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	414
90354	CONECTOR DERIV PERF RSI CB/CB 1,0KV 25-95MM2/25-95MM2	UN	3
90355	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-120MM2/10-35MM2	UN	1432
90356	CONECTOR DERIV PERF RSI CB/CB 1,0KV 35-120MM2/35-120MM2	UN	2744
90372	PARAFUSO DISTR CAB ABAU ACO-GALV M16 45MM 5000DAN	UN	514
90373	PARAFUSO DISTR CAB ABAU ACO-GALV M16 70MM 5000DAN	UN	178
90375	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 200MM 5000DAN	UN	7
90376	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 250MM 5000DAN	UN	1392
90377	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 300MM 5000DAN	UN	507
90378	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 350MM 5000DAN	UN	768
90379	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 400MM 5000DAN	UN	1386
90380	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 450MM 5000DAN	UN	617
90381	PARAFUSO DISTR CAB QUAD ACO-GALV M16 600MM 5000DAN	UN	2
90382	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 500MM 5000DAN	UN	84
90383	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 550MM 5000DAN	UN	34
90384	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 600MM 5000DAN	UN	14
90387	PORCA OLHAL STD SAE1045 GALV MG M16 78,0MM	UN	1930
90388	PORCA QUADR PESADA ACO-GALV M16 24X24X13MM 5000DAN	UN	3055
90389	ARRUELA QUADRADA ACO GALV 38X18X3MM	UN	7691
90391	FIO AMARRACAO ALUMINIO MOLE 1F 6AWG 4.11MM 80DAN	KG	26
90392	FITA LISA P/ AMARRACAO CABO ALUM 1F 10,0X1,0MM	KG	10
90393	ARMACAO SECUNDARIA ACO-GALV 1 ESTRIBO 110X50X5,0MM 125X16MM	UN	2152
90394	ABRACADEIRA CINTA AUTOTRAV POLIAM 230X9X3,0MM PRT	UN	14
90395	ABRACADEIRA CINTA AUTOTRAV POLIAM 390X9X3,0MM PRT	UN	2390
90396	ABRACADEIRA CINTA AUTOTRAV POLIAM 225X7X1,5MM LETRA A PRT	UN	326
90397	ABRACADEIRA CINTA AUTOTRAV POLIAM 225X7X1,5MM LETRA B PRT	UN	314
90398	ABRACADEIRA CINTA AUTOTRAV POLIAM 225X7X1,5MM LETRA C PRT	UN	271
90399	ESTRIBO P/ BRACO TIPO L ACO-GALV 140X70X50MM 400DAN	UN	7
90409	SAPATILHA DISTRIBUICAO ACO-GALV 9,5MM 3/8POL 3160DAN	UN	454
90414	FITA ISOLANTE AUTOFUSAO 35KV 5M 19X0,76MM PRT	UN	432
90415	FITA ISOLANTE SIMPLES 750V 10M 19X0,76MM PRT	UN	329
90416	CANTONEIRA AUXILIAR ABRT ACO-GALV 900X65X65MM 6,0MM 300DAN	UN	72
90423	SUPORTE TRANSF ESP PST DT ACO GALV 360X76X10MM 3000DAN	UN	221
90428	LUVA EMENDA COMPRES DISTR ALUM CA 4AWG 67MM	UN	312
90430	LUVA EMENDA COMPRES DISTR ALUM CA 1/0AWG 184MM	UN	29
90434	LUVA EMENDA COMPRES DISTR ALUM CAA 4AWG 310/105MM	UN	0
90435	LUVA EMENDA COMPRES DISTR ALUM CAA 2AWG 370/114MM	UN	7
90440	MANILHA-SAPATILHA ACO-GALV 110X60X34MM 5000DAN	UN	1565
90448	GANCHO OLHAL ACO-GALV 130X88X13MM 50KN S/TRAVA	UN	1130
90449	GRAMPO ANCOR DIELETR URB SGL 15KV 14,0-16,5MM 400DAN	UN	486
90450	GRAMPO ANCOR DIELETR URB SGL 15KV 18,8-21,3MM 400DAN	UN	91
90451	GRAMPO ANCOR DIELETR URB SGL 15KV 21,8-24,3MM 400DAN	UN	82
90459	ALCA ESTRIBO NORM COMPR COBRE 100A 70X110MM 6,5MM 	UN	2
90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	323
90462	HASTE ATERRAMENTO CIRC S/RSC 2400MM 14,3MM 0.254MMM	UN	728
90463	HASTE ATERRAMENTO PERF L CHANF ACO-GALV 2400X25X25MM 5,0MM	UN	70
90464	CONEC DERIV CUNHA-RML COBR A 5,60-9,36/2,25-5,10MM VL	UN	182
90467	CONEC DERIV CUNHA-RML COBR G 5,60-8,33/1,36-1,73MM VL/AZ	UN	293
90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	70
90472	CONEC DERIV CUNHA-RML COBR II 3,17-8,12/3,17-5,21MM VD	UN	955
90473	CONEC DERIV CUNHA-RML COBR III 2,54-6,55/1,27-4,65MM VM	UN	43
90474	CONEC DERIV CUNHA-RML COBR IV 2,54-6,55/1,27-4,65MM AZ	UN	278
90479	CONECTOR DERIV COMPR ALUM H1 4,10-8,40MM/4,10-8,40MM	UN	872
90480	CONECTOR DERIV COMPR ALUM H2 6,40-8,40MM/4,10-8,40MM	UN	348
