Codigo	Armazem	Descricao
ECOEN00015	01	BOMBA CENTRIF 4CV
ECOEN00015	07	BOMBA CENTRIF 4CV
ECOEN00663	01	PORTA CRACHA RIGIDO
ECOES00112	07	CP32 - BOTAO ACIONADOR DE EMERGENCIA, VERDE - VAULT - UF PE
ENGEN00080	01	ARMACAO MOP PO METALICA PROFISSIONAL BRALIMPIA 120CM (00076)
ENGEN00080	07	ARMACAO MOP PO METALICA PROFISSIONAL BRALIMPIA 120CM (00076)
ENGEN00086	01	CABO DE ALUMINIO 7/8POL C/MANOPLA MOP PO LDG 140CM (04823)
ENGEN00086	07	CABO DE ALUMINIO 7/8POL C/MANOPLA MOP PO LDG 140CM (04823)
FRTEN00024	01	CAIXA ARQUIVO MORTO PAPELCO 25X25X37 CM MONTADA
FRTEN00024	07	CAIXA ARQUIVO MORTO PAPELCO 25X25X37 CM MONTADA
FRTEN00037	01	CARIMBO MULTIFUNCIONAL
FRTEN00037	07	CARIMBO MULTIFUNCIONAL
FRTEN00093	01	SABONETE LIQUIDO 5 LITROS
FRTEN00093	07	SABONETE LIQUIDO 5 LITROS
FRTES00028	01	CABO PARALELO 2 X 15 ROLO 100M
FRTES00171	01	LAMPADA LED 9W
FRTES00171	07	LAMPADA LED 9W
GEREN00010	01	ABRACADEIRA NYLON T18R
GEREN00010	07	ABRACADEIRA NYLON T18R
GEREN00013	01	ABRACADEIRA NYLON T50R
GEREN00013	07	ABRACADEIRA NYLON T50R
GEREN00023	01	ABRACADEIRA U 1
GEREN00023	07	ABRACADEIRA U 1
GEREN00030	01	TUBO 6
GEREN00030	07	TUBO 6
GEREN00045	01	ADAPTADOR CURTO SOLD 32X1
GEREN00045	07	ADAPTADOR CURTO SOLD 32X1
GEREN00048	01	ADAPTADOR CURTO SOLD 50MM
GEREN00048	07	ADAPTADOR CURTO SOLD 50MM
GEREN00106	07	AREIA  OBRA
GEREN00139	01	BUCHA 2POL P/ELETRODUTO ALUM
GEREN00139	07	BUCHA 2POL P/ELETRODUTO ALUM
GEREN00142	01	BUCHA NYLON S10 C/ PARAFUSO
GEREN00142	07	BUCHA NYLON S10 C/ PARAFUSO
GEREN00146	01	BUCHA REDUCAO 1/2X1/4
GEREN00146	07	BUCHA REDUCAO 1/2X1/4
GEREN00149	01	BUCHA
GEREN00149	07	BUCHA
GEREN00159	07	BUCHA REDUCAO ROSCA 1X1/2
GEREN00164	01	BUCHA REDUCAO SOLD CURTA 32X25
GEREN00164	07	BUCHA REDUCAO SOLD CURTA 32X25
GEREN00166	01	BUCHA REDUCAO SOLD CURTA 50X40
GEREN00166	07	BUCHA REDUCAO SOLD CURTA 50X40
GEREN00180	07	BLOCO CONTATOR NA SIEME
GEREN00189	01	BOLAS DE BORRACHA
GEREN00189	07	BOLAS DE BORRACHA
GEREN00191	01	BOTON CIPA SEGURANCA F VERDE 20MM CS4.20
GEREN00191	07	BOTON CIPA SEGURANCA F VERDE 20MM CS4.20
GEREN00200	01	BROCA 12MM
GEREN00200	07	BROCA 12MM
GEREN00201	07	BROCA 08X160MM SDS PLUS
GEREN00209	01	BUCHA SOLDAVEL CURTA 60X50MM TIGRE
GEREN00209	07	BUCHA SOLDAVEL CURTA 60X50MM TIGRE
GEREN00212	01	CABO 1MM
GEREN00212	07	CABO 1MM
GEREN00250	01	CABO PP 3X4,0MM
GEREN00250	07	CABO PP 3X4,0MM
GEREN00281	01	CANTONEIRA
GEREN00281	07	CANTONEIRA
GEREN00288	01	CAP ESGOTO 40
GEREN00288	07	CAP ESGOTO 40
GEREN00299	01	CABO FLEX.2 5MM 450 750V
GEREN00302	01	CABO FLEX 750V 1,50MM
GEREN00304	01	CABO FLEXIVEL 2,5MM
GEREN00304	07	CABO FLEXIVEL 2,5MM
GEREN00317	01	CABO PP 4 X 6 MM FLEX
GEREN00317	07	CABO PP 4 X 6 MM FLEX
GEREN00318	01	CABO PP 3X2,50MM
GEREN00318	07	CABO PP 3X2,50MM
GEREN00326	01	CHAPA 16X820X1160MM
GEREN00326	07	CHAPA 16X820X1160MM
GEREN00332	01	CHAVE DE SETA
GEREN00332	07	CHAVE DE SETA
GEREN00341	01	CHAVE PHILLIPS 1/8 X 4
GEREN00341	07	CHAVE PHILLIPS 1/8 X 4
GEREN00368	01	COLA  GEORGE FISCHER
GEREN00368	07	COLA  GEORGE FISCHER
GEREN00429	07	CONECTOR  BATERIA
GEREN00447	07	HASTE DE ATERRAMENTO S CONECTOR 1/2 2,00 MTS
GEREN00464	01	COPO P AGUA 180ML  C/ 2500 UND COPOBRAS
GEREN00464	07	COPO P AGUA 180ML  C/ 2500 UND COPOBRAS
GEREN00514	01	CAIXA 4 X 2  REDE
GEREN00514	07	CAIXA 4 X 2  REDE
GEREN00519	01	CAIXA METAL(QUADRO ETETRICO)
GEREN00519	07	CAIXA METAL(QUADRO ETETRICO)
GEREN00578	01	ELETRODUTO F G  1 1/2  GALV FOGO
GEREN00578	07	ELETRODUTO F G  1 1/2  GALV FOGO
GEREN00597	01	ENGATE RAPIDO
GEREN00597	07	ENGATE RAPIDO
