codmat	dscmat	codund_mda_mat	vlrult_cot	saldo_oper
90396	ABRACADEIRA CINTA AUTOTRAV POLIAM 225X7X1,5MM LETRA A PRT	UN	1,3333	954
90398	ABRACADEIRA CINTA AUTOTRAV POLIAM 225X7X1,5MM LETRA C PRT	UN	1,3548	857
90394	ABRACADEIRA CINTA AUTOTRAV POLIAM 230X9X3,0MM PRT	UN	0,7743	90
90395	ABRACADEIRA CINTA AUTOTRAV POLIAM 390X9X3,0MM PRT	UN	0,5398	3101
90229	AFASTADOR ARMACAO SECUND ACO-GALV 900X500MM 65X65MM 5FRS	UN	150,0685	6
90459	ALCA ESTRIBO NORM COMPR COBRE 100A 70X110MM 6,5MM 	UN	20,81	3
90659	ALCA ESTRIBO NORM COMPR COBRE 400A 119X120MM 11,8MM 	UN	80,23	3
90013	ALCA PREF CORD ACO-ZN 9,50MM 6X2.54MM 965MM LRJ	UN	11,9	760
90315	ALCA PREF DISTR ACO-ALUM 9,27-10,40MM 660MM AMR	UN	7,1351	9
90685	ALCA PREF DISTR ACO-ZINC 10,30-11,55MM 710MM AZL	UN	7,6629	33
90308	ALCA PREF DISTR ACO-ZINC 13,10-14,65MM 865MM VRM	UN	15,02	226
90310	ALCA PREF DISTR ACO-ZINC 17,40-19,30MM 1000MM AMR	UN	26,66	71
90683	ALCA PREF DISTR ACO-ZINC 5,70-6,45MM 430MM LRJ	UN	2,9	573
90306	ALCA PREF DISTR ACO-ZINC 7,30-8,20MM 610MM VRM	UN	4,31	754
90307	ALCA PREF DISTR ACO-ZINC 9,15-10,25MM 670MM AMR	UN	5,98	164
90557	ALCA PREF DISTR ACO-ZINC 9,80-10,85MM 710MM PRT	UN	6,45	102
91248	ALCA PREF DISTR ACO-ZN 3X2,25MM 3X2.18MM 510MM PRT	UN	3,8337	4
90713	ALCA PREF DISTR LIGA-ALUM 10,20-11,20MM 445MM VRM	UN	3,08	250
90565	ALCA PREF DISTR LIGA-ALUM 10,41-11,69MM 545MM VRM	UN	3,86	73
90715	ALCA PREF DISTR LIGA-ALUM 13,50-14,50MM 545MM PRT	UN	6,37	425
90566	ALCA PREF DISTR LIGA-ALUM 14,68-15,63MM 710MM PRT	UN	11,0302	1
90706	ALCA PREF DISTR LIGA-ALUM 5,70-6,45MM 430MM LRJ	UN	2,59	5
90707	ALCA PREF DISTR LIGA-ALUM 7,30-8,20MM 610MM VRM	UN	3,52	78
90311	ALCA PREF SERV ACO-ALUM 3,70-4,10MM 292MM MRM	UN	0,96	332
90312	ALCA PREF SERV ACO-ALUM 5,05-5,70MM 279MM BRC	UN	1,5836	2
90313	ALCA PREF SERV ACO-ALUM 5,81-6,53MM 445MM LRJ	PC	2,84	19
90314	ALCA PREF SERV ACO-ALUM 7,36-8,27MM 625MM VRM	UN	5,6243	6
90303	ALCA PREF SERV ACO-ZINC 3,90-4,30MM 345MM MRM	UN	1,04	848
90304	ALCA PREF SERV ACO-ZINC 4,90-5,40MM 305MM BRC	UN	2,1323	84
90325	ALCA PREF SERV CONC ACO-ALUM 11,20-12,00MM 380MM LRJ	UN	3,5452	3
90323	ALCA PREF SERV CONC ACO-ALUM 8,70-9,30MM 325MM VRD	UN	1,5107	1225
90324	ALCA PREF SERV CONC ACO-ALUM 9,80-10,50MM 355MM AMR	UN	2,15	1347
90724	ALCA PREF SERV CONC ACO-ZINC 9,80-10,50MM 355MM AMR	UN	1,55	21
90726	ALCA PREF SERV CONC LIGA-ALUM 8,70-9,70MM 325MM VRD	UN	1,54	462
90727	ALCA PREF SERV CONC LIGA-ALUM 9,80-10,50MM 355MM AMR	UN	1,99	817
90721	ALCA PREF SERV LIGA-ALUM 6,45-7,50MM 330MM BRC	UN	2,27	46
90537	ANEL AMAR ELASTOMERICO P/ESPACADOR 45X90X140MM CNZ	UN	2,65	126
90538	ANEL AMAR ELASTOMERICO P/ISOLADOR 15,0KV 45X110X160MM VRM	UN	3,73	950
90393	ARMACAO SECUNDARIA ACO-GALV 1 ESTRIBO 110X50X5,0MM 125X16MM	UN	13,07	1288
92017	ARMACAO SECUNDARIA ACO-GALV 2 ESTRIBOS 310X50X5,0MM 325X16MM	UN	26,25	345
10064	ARRUELA QUAD 18X100MM GALV	PC	7,9536	5
90389	ARRUELA QUADRADA ACO GALV 38X18X3MM	UN	0,7371	5219
30204	BASE P/ RELE FOTOELETRICO	PC	20,5	54
90542	BRACO COMP TIPO C 15KV ACO-GALV 580X365X362MM	UN	96,14	236
90536	BRACO COMP TIPO J 15/36,2KV ACO-GALV 1650X550MM	UN	401,4333	35
90544	BRACO COMP TIPO L 15KV ACO-GALV 354X241MM	UN	62,2681	26
90516	BRACO GRAMPO SUSP CABO BT 234X130X36MM 7,0-17,0MM 500DAN	UN	32,9598	36
90836	CABO ACO COBREADO 1F LCA IACS53% 3X2,59MM 16MM2	KG	82,62	711,6
90835	CABO ACO COBREADO 1F LCA IACS53% 7X2,59MM 35MM2	KG	76,9	13
90296	CABO ALUM CONCENTR 0,6/1KV XLPE 1F 1X10MM2+10MM2	M	4,24	8223,68
90272	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 1F 1X1X10MM2+10MM2	M	1,89	4400,11
90274	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 2F 2X1X10MM2+10MM2	M	2,99	1899
